County,BranchServedBy,StCounty_fips_code
Brunswick,Wilmington,37019
Carteret,Greenville,37031
Carteret,New Bern,37031
Chatham,Durham,37037
Columbus,Wilmington,37047
Craven,Greenville,37049
Craven,New Bern,37049
Duplin,Raleigh,37061
Durham,Durham,37063
Edgecombe,Greenville,37065
Edgecombe,Raleigh,37065
Franklin,Raleigh,37069
Granville,Durham,37077
Greene,Greenville,37079
Halifax,Raleigh,37083
Harnett,Raleigh,37085
Johnston,Raleigh,37101
Jones,Greenville,37103
Jones,New Bern,37103
Lee,Raleigh,37105
Lee,Sandhills,37105
Lenoir,Greenville,37107
Moore,Sandhills,37125
Nash,Raleigh,37127
New Hanover,Wilmington,37129
Onslow,Greenville,37133
Onslow,New Bern,37133
Orange,Durham,37135
Pamlico,Greenville,37137
Pamlico,New Bern,37137
Pender,Wilmington,37141
Person,Durham,37145
Pitt,Greenville,37147
Richmond,Sandhills,37153
Sampson,Raleigh,37163
Scotland,Sandhills,37165
Vance,Durham,37181
Wake,Raleigh,37183
Warren,Raleigh,37185
Wayne,Raleigh,37191
Wilson,Greenville,37195
Wilson,Raleigh,37195
