State,StateCode,CountyCode,StCountyCode,CountyName,Type
NC,37,1,37001,Alamance,H1
NC,37,3,37003,Alexander,H1
NC,37,5,37005,Alleghany,H1
NC,37,7,37007,Anson,H1
NC,37,9,37009,Ashe,H1
NC,37,11,37011,Avery,H1
NC,37,13,37013,Beaufort,H1
NC,37,15,37015,Bertie,H1
NC,37,17,37017,Bladen,H1
NC,37,19,37019,Brunswick,H1
NC,37,21,37021,Buncombe,H1
NC,37,23,37023,Burke,H1
NC,37,25,37025,Cabarrus,H1
NC,37,27,37027,Caldwell,H1
NC,37,29,37029,Camden,H1
NC,37,31,37031,Carteret,H1
NC,37,33,37033,Caswell,H1
NC,37,35,37035,Catawba,H1
NC,37,37,37037,Chatham,H1
NC,37,39,37039,Cherokee,H1
NC,37,41,37041,Chowan,H1
NC,37,43,37043,Clay,H1
NC,37,45,37045,Cleveland,H1
NC,37,47,37047,Columbus,H1
NC,37,49,37049,Craven,H1
NC,37,51,37051,Cumberland,H1
NC,37,53,37053,Currituck,H1
NC,37,55,37055,Dare,H1
NC,37,57,37057,Davidson,H1
NC,37,59,37059,Davie,H1
NC,37,61,37061,Duplin,H1
NC,37,63,37063,Durham,H1
NC,37,65,37065,Edgecombe,H1
NC,37,67,37067,Forsyth,H1
NC,37,69,37069,Franklin,H1
NC,37,71,37071,Gaston,H1
NC,37,73,37073,Gates,H1
NC,37,75,37075,Graham,H1
NC,37,77,37077,Granville,H1
NC,37,79,37079,Greene,H1
NC,37,81,37081,Guilford,H1
NC,37,83,37083,Halifax,H1
NC,37,85,37085,Harnett,H1
NC,37,87,37087,Haywood,H1
NC,37,89,37089,Henderson,H1
NC,37,91,37091,Hertford,H1
NC,37,93,37093,Hoke,H1
NC,37,95,37095,Hyde,H1
NC,37,97,37097,Iredell,H1
NC,37,99,37099,Jackson,H1
NC,37,101,37101,Johnston,H1
NC,37,103,37103,Jones,H1
NC,37,105,37105,Lee,H1
NC,37,107,37107,Lenoir,H1
NC,37,109,37109,Lincoln,H1
NC,37,111,37111,McDowell,H1
NC,37,113,37113,Macon,H1
NC,37,115,37115,Madison,H1
NC,37,117,37117,Martin,H1
NC,37,119,37119,Mecklenburg,H1
NC,37,121,37121,Mitchell,H1
NC,37,123,37123,Montgomery,H1
NC,37,125,37125,Moore,H1
NC,37,127,37127,Nash,H1
NC,37,129,37129,New Hanover,H1
NC,37,131,37131,Northampton,H1
NC,37,133,37133,Onslow,H1
NC,37,135,37135,Orange,H1
NC,37,137,37137,Pamlico,H1
NC,37,139,37139,Pasquotank,H1
NC,37,141,37141,Pender,H1
NC,37,143,37143,Perquimans,H1
NC,37,145,37145,Person,H1
NC,37,147,37147,Pitt,H1
NC,37,149,37149,Polk,H1
NC,37,151,37151,Randolph,H1
NC,37,153,37153,Richmond,H1
NC,37,155,37155,Robeson,H1
NC,37,157,37157,Rockingham,H1
NC,37,159,37159,Rowan,H1
NC,37,161,37161,Rutherford,H1
NC,37,163,37163,Sampson,H1
NC,37,165,37165,Scotland,H1
NC,37,167,37167,Stanly,H1
NC,37,169,37169,Stokes,H1
NC,37,171,37171,Surry,H1
NC,37,173,37173,Swain,H1
NC,37,175,37175,Transylvania,H1
NC,37,177,37177,Tyrrell,H1
NC,37,179,37179,Union,H1
NC,37,181,37181,Vance,H1
NC,37,183,37183,Wake,H1
NC,37,185,37185,Warren,H1
NC,37,187,37187,Washington,H1
NC,37,189,37189,Watauga,H1
NC,37,191,37191,Wayne,H1
NC,37,193,37193,Wilkes,H1
NC,37,195,37195,Wilson,H1
NC,37,197,37197,Yadkin,H1
NC,37,199,37199,Yancey,H1
